x,y
2114.85899697759,-67.1000576978549
2135.79908285628,-77.8472403213382
2154.31412680424,-82.9042761810124
2184.28186368756,-84.8286660602316
2196.72742016867,-79.3569839559495
2229.3426311131,-56.6833863845095
2266.42523604824,-16.0728953303769
2745.97013306629,687.608683994971
2831.78313102596,803.952999201603
3025.46788666505,1043.30713829864
3188.80721256181,1274.70101152826
3239.34276996509,1357.94223735295
3283.2775155353,1447.75161330681
3306.61022616967,1507.91462841164
3332.99677069369,1605.26042392757
3343.055820579,1671.10526806954
3349.31684188149,1738.69152329676
3349.93752467251,1840.57789733633
3346.29187292833,1941.39435091056
3334.72074960076,2076.70785835572
3317.79093863606,2212.16454843339
3272.8764205944,2508.92559704743
3251.01773516962,2685.93126473017
3241.4399299564,2834.23213093914
3241.09927215663,2988.44803519454
3250.83253489854,3149.83165971749
3278.81663490503,3400.14647354838
3358.7172002483,3931.53728769254
3375.9839797985,4070.35311344825
3391.35178878234,4255.10868702456
3395.25231201283,4431.9570016833
3384.88131701967,4651.33034607023
3365.90295930355,4865.83117810078
3332.84865716915,5068.67573287897
3306.46515638963,5185.64107011538
3285.71497488639,5261.2550751958
3223.83334851536,5443.01945187431
3148.10140108992,5618.26304856502
3045.30938982454,5817.37246959284
2970.57244152238,5944.67700153682
2912.2223516028,6034.54429085739
2845.87833106855,6124.10771406908
2779.85310145465,6206.46725030802
2685.92194336597,6312.81265227869
2612.15843763991,6384.7131430367
2561.42609447442,6428.88339948002
2485.18517556944,6489.65773618966
2376.91604136038,6564.14982525911
2182.11704375231,6676.03713727836
1733.46904126444,6903.37963145692
1521.22460201534,7001.38905197568
1406.37464563994,7059.57686891686
952.213003486861,7274.88212836534
822.650291735714,7340.49309403077
650.25601975579,7440.16555382777
563.309371944371,7498.42146429047
480.623883841123,7559.6840187395
399.421992945718,7625.41714598704
318.878957356384,7697.9938337598
243.905047175853,7773.10330658127
172.073441377608,7852.34292833228
69.8966416027688,7982.07420037594
-18.0614238694834,8115.63521962613
-99.1752471802465,8260.70620275661
-146.631930895936,8359.39771492966
-210.053724709374,8510.30968255177
-305.261372370325,8777.30096322484
-384.586927986704,9051.52845323272
-500.935498561506,9506.23956680112
-676.929579859949,10225.2806872576
-792.115105583041,10659.5914249439
-822.849011251354,10784.3886230048
-875.142703919846,10967.5234988416
-940.091424674523,11153.363951521
-990.629932885175,11271.6554793613
-1047.41183910627,11385.9593505943
-1144.38173920286,11546.6272546165
-1214.41199737211,11646.3295677463
-1294.04059937719,11745.9361504596
-1374.21898308268,11832.9975475939
-1463.19128461104,11915.8754164753
-1511.07985337536,11956.024949329
-1559.35222664292,11990.2317192098
